filename,AcquisitionNumber,ImagePositionPatient,SeriesNumber,SliceLocation
1.3.12.2.1107.5.2.19.45698.201602120927468202475499,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209221668478873468,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209212525070572989,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209251621769074008,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209261437463674618,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209260715146074529,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209274637900275535,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209251637212974023,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209215049766573236,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209272173250075288,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209251594201073968,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209272125344675236,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209254975877874389,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209275420609375663,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209265693628975017,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209260698994374511,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209270376568375132,1,"[137.06649623014, -112.96162064847, -187.77121346064]",74,-250.6750491507
1.3.12.2.1107.5.2.19.45698.2016021209221671746873475,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209270384987175141,1,"[137.06649623014, -112.96162064847, -187.77121346064]",74,-250.6750491507
1.3.12.2.1107.5.2.19.45698.201602120926577690775032,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209274622339275520,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.201602120925426835174249,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209272168662275285,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209274580439775469,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.201602120927547100675642,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209213310013173111,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209213339369073153,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209254969508074371,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209221686654073486,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209212531693873000,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209254988061274398,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209254231524574282,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209265681228475004,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209254972665474377,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209272878621675341,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209260690536674495,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209213292845973087,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209215847614373355,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209263224688274743,1,"[120.57019648649, -94.364889462552, -170.87040894099]",74,-220.61505065693
1.3.12.2.1107.5.2.19.45698.2016021209261421433074608,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209265680765074999,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209272161625175273,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209254213917774264,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209213316694273120,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.201602120926576283375029,1,"[131.56773219206, -106.76271088894, -182.13761322566]",74,-240.65505215664
1.3.12.2.1107.5.2.19.45698.2016021209254955403874359,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.201602120925164411573986,1,"[87.577593184489, -57.171427090726, -137.06879513331]",74,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209270389799575145,1,"[137.06649623014, -112.96162064847, -187.77121346064]",74,-250.6750491507
1.3.12.2.1107.5.2.19.45698.2016021209212520823872986,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209252411796574144,1,"[93.076359129924, -63.370340664944, -142.70239727564]",74,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209260694021274502,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209215048394973233,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209260670575174472,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209221689908373492,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209272121700175223,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209213320670573126,1,"[93.076359129924, -63.370340664944, -142.70239727564]",72,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209261443242974635,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209215031918073212,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.201602120927297821375386,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209254189825174230,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209212495051272955,1,"[87.577593184489, -57.171427090726, -137.06879513331]",72,-160.49504889503
1.3.12.2.1107.5.2.19.45698.2016021209272142138875246,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209254986205474392,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209274615959775510,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209274633213075529,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209272126254975237,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209274632035975526,1,"[153.5627959738, -131.55835231122, -204.67201988764]",74,-280.73504901184
1.3.12.2.1107.5.2.19.45698.2016021209272166029575279,1,"[142.56526026823, -119.16053231534, -193.40481560298]",74,-260.69504839712
1.3.12.2.1107.5.2.19.45698.2016021209254191943774237,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209254992709574410,1,"[104.07389292814, -75.768160183987, -153.96960156031]",74,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209275389519375618,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.2016021209215868527473382,1,"[104.07389292814, -75.768160183987, -153.96960156031]",72,-190.55504964116
1.3.12.2.1107.5.2.19.45698.2016021209221672985173477,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209275398734475633,1,"[159.06156001188, -137.75726254757, -210.30562202998]",74,-290.75504737327
1.3.12.2.1107.5.2.19.45698.201602120926404311974904,1,"[126.06896052458, -100.56379922207, -176.50401108332]",74,-230.63504872337
1.3.12.2.1107.5.2.19.45698.2016021209215078576073272,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209254223730274273,1,"[98.575125075358, -69.569246609769, -148.33599917956]",74,-180.53504698728
1.3.12.2.1107.5.2.19.45698.2016021209270353360275101,1,"[137.06649623014, -112.96162064847, -187.77121346064]",74,-250.6750491507
1.3.12.2.1107.5.2.19.45698.2016021209270358907275112,1,"[137.06649623014, -112.96162064847, -187.77121346064]",74,-250.6750491507
1.3.12.2.1107.5.2.19.45698.2016021209261460748074660,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209272886158975360,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209260670972974473,1,"[109.57266078092, -81.967069943509, -159.60320370265]",74,-200.57504980102
1.3.12.2.1107.5.2.19.45698.2016021209272923312275404,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209252419015274160,1,"[93.076359129924, -63.370340664944, -142.70239727564]",74,-170.51505036815
1.3.12.2.1107.5.2.19.45698.201602120927291531875365,1,"[148.06403193571, -125.35944207486, -199.03841774531]",74,-270.7150506504
1.3.12.2.1107.5.2.19.45698.2016021209261415415574593,1,"[115.07142863371, -88.16597970303, -165.23680584498]",74,-210.59504996088
1.3.12.2.1107.5.2.19.45698.2016021209252399976974136,1,"[93.076359129924, -63.370340664944, -142.70239727564]",74,-170.51505036815
1.3.12.2.1107.5.2.19.45698.2016021209215035172973223,1,"[98.575125075358, -69.569246609769, -148.33599917956]",72,-180.53504698728
1.3.12.2.1107.5.2.19.45698.201602120922176539173513,1,"[109.57266078092, -81.967069943509, -159.60320370265]",72,-200.57504980102
